GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-BTH_RS27990	649.413534500846	-3.03966412753163	0.161669617567126	-18.8017029623365	7.3130272531724e-79	1.44465529283124e-76
gene-BTH_RS27980	630.698038568532	-2.98190951168182	0.159115204238959	-18.7405692997357	2.31141314252212e-78	4.36756587713092e-76
gene-BTH_RS06320	8134.29337495159	-1.66521548878252	0.0908725203362636	-18.3247419860324	5.25299233046035e-75	9.51229361174194e-73
gene-BTH_RS04360	680.701986146086	-3.56439733876957	0.19499777843682	-18.2791689594784	1.21259622995161e-74	2.10797728614789e-72
gene-BTH_RS05505	16713.8908777849	-2.67680801099967	0.152461446462307	-17.5572780733224	5.232486970054e-69	8.7463032199441e-67
gene-BTH_RS04410	407.529551227515	-3.06024939829295	0.174621700480217	-17.5250234643067	9.23034734059281e-69	1.48574405711912e-66
gene-BTH_RS01195	765.095079152698	-3.8464689419238	0.224545857546472	-17.1299928840938	8.8665560427586e-66	1.37621616292246e-63
gene-BTH_RS06280	3368.41759269974	-1.72390988616975	0.100953552537065	-17.0762676780178	2.22930681012015e-65	3.34088530923523e-63
gene-BTH_RS26975	2874.72593822308	-2.35020270297296	0.141495552744266	-16.60972841472	5.92608850941445e-62	8.58492688730507e-60
gene-BTH_RS25620	3474.87914654937	1.59266608021379	0.0984254732548923	16.1814419331189	6.81788459111501e-59	9.55823433322123e-57
gene-BTH_RS04115	1626.80604904691	-2.04232318039462	0.12697060435013	-16.085007950051	3.25010593960754e-58	4.41405012922949e-56
gene-BTH_RS01200	687.590435565592	-3.39763309531365	0.212479379720343	-15.9904132805051	1.49038983521642e-57	1.96279824965169e-55
gene-BTH_RS25500	928.579147287557	1.74542745856094	0.112352338239954	15.5353015869877	2.00128534304383e-54	2.55811355907896e-52
gene-BTH_RS25615	11284.0103766572	1.52504162078035	0.0991678801871082	15.3783827777999	2.28586088096964e-53	2.83838611105545e-51
gene-BTH_RS04380	272.753043142955	-3.86019851742803	0.253876305364827	-15.2050366097806	3.27447652955053e-52	3.84618243173692e-50
gene-BTH_RS26985	622.712479849414	-2.3948257829584	0.157501477559205	-15.2051004223639	3.27128731598562e-52	3.84618243173692e-50
gene-BTH_RS26980	406.009287733827	-2.58452443066355	0.171083758059171	-15.1067784574247	1.46110400664394e-51	1.67104158233541e-49
gene-BTH_RS04430	324.7783750003	-3.03319753010396	0.203028752949535	-14.9397436867373	1.81672658483372e-50	2.02448557376598e-48
gene-BTH_RS27970	1417.81896119212	-1.64588337188912	0.110556571579283	-14.8872504671404	3.98837015963559e-50	4.33336417844407e-48
gene-BTH_RS01210	426.606136061362	-2.93222789342763	0.201068407613058	-14.5832352692149	3.59087886694432e-48	3.80633159896098e-46
gene-BTH_RS25635	3160.7884364184	1.3404180195693	0.0921589746517645	14.5446281779312	6.31731622121092e-48	6.53691816604349e-46
gene-BTH_RS06315	7681.79108810547	-1.62412938282928	0.114073072728555	-14.237622814755	5.35167456083902e-46	5.4089250328852e-44
gene-BTH_RS06275	791.286975117512	-1.74351609983076	0.127695866812068	-13.6536611822896	1.91985363181746e-42	1.89629179179061e-40
gene-BTH_RS14410	3270.7502954773	-1.4025403323401	0.103277841962384	-13.5802637399312	5.24372800195381e-42	5.06427597699806e-40
gene-BTH_RS25515	4886.55602295118	1.44867150579239	0.10799198205166	13.4146209586133	4.96464914608848e-41	4.69051417150012e-39
gene-BTH_RS25435	5407.27269836753	1.31375942535243	0.0982762304361017	13.3680282558927	9.29728288622247e-41	8.59701945181337e-39
gene-BTH_RS25895	1266.89030573913	1.93583692743772	0.145749514613877	13.2819442491193	2.94643178142198e-40	2.66774844209582e-38
gene-BTH_RS25520	6036.22310815176	1.67487154612469	0.126761907811183	13.2127353953956	7.40825215709823e-40	6.57066609688753e-38
gene-BTH_RS06285	2916.41628944882	-1.72217640818241	0.130994441588958	-13.1469426281945	1.77195519949728e-39	1.54018345940303e-37
gene-BTH_RS25630	1866.59285160257	1.45001056574949	0.110402982786757	13.1337988263432	2.10809984782729e-39	1.79643175267792e-37
gene-BTH_RS13425	951.680344691987	-1.6629886702124	0.126859657640705	-13.1088850556601	2.92872267151268e-39	2.44773629430656e-37
gene-BTH_RS25545	1276.86055136614	1.46297372222103	0.113278511532131	12.9148388554352	3.71220396786558e-38	3.04400725364977e-36
gene-BTH_RS25445	1842.12652625785	1.29963403616101	0.100810689481467	12.8918276707149	5.00435880358724e-38	4.02758210377595e-36
gene-BTH_RS27225	443.025646391579	2.46139912014414	0.192326203980755	12.7980434761268	1.6813406657137e-37	1.32856482421668e-35
gene-BTH_RS13480	3551.05944542788	-1.37809339068326	0.107794001771877	-12.784509045315	2.00122536839127e-37	1.5530938305408e-35
